sepal length (cm);sepal width (cm);petal length (cm)
0.2222222222222221;0.625;0.0701754385964912
0.16666666666666674;0.41666666666666674;0.0701754385964912
0.11111111111111116;0.5;0.05263157894736842
0.08333333333333326;0.45833333333333326;0.08771929824561403
0.19444444444444442;0.6666666666666667;0.0701754385964912
0.3055555555555556;0.7916666666666665;0.12280701754385964
0.08333333333333326;0.5833333333333333;0.0701754385964912
0.19444444444444442;0.5833333333333333;0.08771929824561403
0.0277777777777779;0.375;0.0701754385964912
0.16666666666666674;0.45833333333333326;0.08771929824561403
0.3055555555555556;0.7083333333333333;0.08771929824561403
0.13888888888888884;0.5833333333333333;0.10526315789473684
0.13888888888888884;0.41666666666666674;0.0701754385964912
0.0;0.41666666666666674;0.017543859649122834
0.4166666666666665;0.8333333333333333;0.03508771929824561
0.38888888888888884;1.0;0.08771929824561403
0.3055555555555556;0.7916666666666665;0.05263157894736842
0.2222222222222221;0.625;0.0701754385964912
0.38888888888888884;0.7499999999999998;0.12280701754385964
0.2222222222222221;0.7499999999999998;0.08771929824561403
0.3055555555555556;0.5833333333333333;0.12280701754385964
0.2222222222222221;0.7083333333333333;0.08771929824561403
0.08333333333333326;0.6666666666666667;0.0
0.2222222222222221;0.5416666666666665;0.12280701754385964
0.13888888888888884;0.5833333333333333;0.15789473684210525
0.19444444444444442;0.41666666666666674;0.10526315789473684
0.19444444444444442;0.5833333333333333;0.10526315789473684
0.25;0.625;0.08771929824561403
0.25;0.5833333333333333;0.0701754385964912
0.11111111111111116;0.5;0.10526315789473684
0.13888888888888884;0.45833333333333326;0.10526315789473684
0.3055555555555556;0.5833333333333333;0.08771929824561403
0.25;0.8749999999999998;0.08771929824561403
0.33333333333333326;0.9166666666666667;0.0701754385964912
0.16666666666666674;0.45833333333333326;0.08771929824561403
0.19444444444444442;0.5;0.03508771929824561
0.33333333333333326;0.625;0.05263157894736842
0.16666666666666674;0.6666666666666667;0.0701754385964912
0.0277777777777779;0.41666666666666674;0.05263157894736842
0.2222222222222221;0.5833333333333333;0.08771929824561403
0.19444444444444442;0.625;0.05263157894736842
0.05555555555555558;0.12499999999999989;0.05263157894736842
0.0277777777777779;0.5;0.05263157894736842
0.19444444444444442;0.625;0.10526315789473684
0.2222222222222221;0.7499999999999998;0.10526315789473684
0.13888888888888884;0.41666666666666674;0.0701754385964912
0.2222222222222221;0.7499999999999998;0.10526315789473684
0.08333333333333326;0.5;0.0701754385964912
0.2777777777777777;0.7083333333333333;0.08771929824561403
0.19444444444444442;0.5416666666666665;0.0701754385964912
0.75;0.5;0.6491228070175439
